Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-01-01T12:07:00Z,XLMUSD,0,4153.47936966,Limit,Canceled,0,"" 
2025-01-01T12:09:00Z,XLMUSD,0.362254,4147.79420304,Limit,Filled,1502.5550412281,"Entry" 
2025-01-01T12:52:00Z,XLMUSD,0.371423,-2073.89710152,Limit,Filled,-770.29308313786,"Partial TP" 
2025-01-01T13:18:00Z,XLMUSD,0.376298,-2073.89710152,Limit,Filled,-780.40333150777,"ATR Trail" 
2025-01-01T14:55:00Z,FTMUSD,0.7641,1820.15083882,Limit,Filled,1390.7772559424,"Entry" 
2025-01-01T16:28:00Z,FTMUSD,0,-910.07541941,Limit,Canceled,0,"" 
2025-01-01T16:54:00Z,FTMUSD,0.7816,-1820.15083882,Limit,Filled,-1422.6298956217,"ATR Trail" 
2025-01-01T16:55:00Z,XLMUSD,0.40173,3463.13439022,Limit,Filled,1391.2449785831,"Entry" 
2025-01-01T17:09:00Z,XLMUSD,0.393581,-3463.13439022,Limit,Filled,-1363.0238964372,"ATR Trail" 
2025-01-01T17:11:00Z,XRPUSD,2.22816,507.4287774,Limit,Filled,1130.6325046516,"Entry" 
2025-01-01T17:55:00Z,FTMUSD,0.7893,1355.63032013,Limit,Filled,1069.9990116786,"Entry" 
2025-01-01T18:32:00Z,XRPUSD,2.28999,-253.7143887,Limit,Filled,-581.00341297911,"Partial TP" 
2025-01-01T19:19:00Z,XRPUSD,2.31713,-253.7143887,Limit,Filled,-587.88922148843,"ATR Trail" 
2025-01-01T19:27:00Z,FTMUSD,0.7914,-1355.63032013,Limit,Filled,-1072.8458353509,"Stagnation Exit" 
2025-01-01T19:31:00Z,ADAUSD,0,1247.51490615,Limit,Canceled,0,"" 
2025-01-01T19:33:00Z,ADAUSD,0.910539,1248.35202747,Limit,Filled,1136.6732067405,"Entry" 
2025-01-01T20:19:00Z,XRPUSD,0,306.09397444,Limit,Canceled,0,"" 
2025-01-01T20:21:00Z,XRPUSD,0,305.51622313,Limit,Canceled,0,"" 
2025-01-01T20:44:00Z,ADAUSD,0.920151,-1248.35202746,Limit,Filled,-1148.6723664193,"ATR Trail" 
2025-01-01T21:51:00Z,FTMUSD,0,1698.57171239,Limit,Canceled,0,"" 
2025-01-02T00:28:00Z,CRVUSD,0.9805,1549.73515937,Limit,Filled,1519.5153237623,"Entry" 
2025-01-02T00:56:00Z,CRVUSD,0,-1549.73515937,Limit,Canceled,0,"" 
2025-01-02T00:59:00Z,CRVUSD,0.965,-1549.73515937,Limit,Filled,-1495.4944287921,"ATR Trail" 
2025-01-02T01:00:00Z,XDGUSD,0.3331193,4151.5161911,Limit,Filled,1382.9501675179,"Entry" 
2025-01-02T01:20:00Z,ALGOUSD,0.40007,2493.98233899,Limit,Filled,997.76751435973,"Entry" 
2025-01-02T01:31:00Z,XDGUSD,0.3311623,-4151.51619109,Limit,Filled,-1374.8256503286,"ATR Trail" 
2025-01-02T01:54:00Z,ALGOUSD,0.39367,-2493.98233898,Limit,Filled,-981.80602738626,"ATR Trail" 
2025-01-02T03:06:00Z,CRVUSD,1.0045,1362.62206176,Limit,Filled,1368.7538610379,"Entry" 
2025-01-02T04:00:00Z,CRVUSD,1.005,-1362.62206175,Limit,Filled,-1369.4351720587,"ATR Trail" 
2025-01-02T06:45:00Z,CRVUSD,1.0135,1351.0872945,Limit,Filled,1369.3269729758,"Entry" 
2025-01-02T07:00:00Z,XLMUSD,0.417538,1941.11319261,Limit,Filled,810.48852021599,"Entry" 
2025-01-02T07:29:00Z,XLMUSD,0.448,-1941.11319261,Limit,Filled,-869.61871028928,"ATR Trail" 
2025-01-02T07:30:00Z,FTMUSD,0.8153,678.75872012,Limit,Filled,553.39198451384,"Entry" 
2025-01-02T07:31:00Z,CRVUSD,0,-1351.08729451,Limit,Canceled,0,"" 
2025-01-02T07:33:00Z,CRVUSD,1.008,-1351.08729451,Limit,Filled,-1361.8959928661,"ATR Trail" 
2025-01-02T07:57:00Z,FTMUSD,0.8371,-339.37936006,Limit,Filled,-284.09446230623,"Partial TP" 
2025-01-02T08:06:00Z,FTMUSD,0.8354,-339.37936006,Limit,Filled,-283.51751739412,"ATR Trail" 
2025-01-02T10:15:00Z,FTMUSD,0.8555,1101.64207595,Limit,Filled,942.45479597523,"Entry" 
2025-01-02T10:42:00Z,XLMUSD,0.431761,389.81306743,Limit,Filled,168.30607980664,"Entry" 
2025-01-02T10:45:00Z,FTMUSD,0.865,-1101.64207594,Limit,Filled,-952.9203956881,"ATR Trail" 
2025-01-02T12:14:00Z,XLMUSD,0.448,-389.81306743,Limit,Filled,-174.63625420864,"Stagnation Exit" 
2025-01-02T14:35:00Z,XLMUSD,0.428146,435.70951351,Limit,Filled,186.54728537125,"Entry" 
2025-01-02T14:51:00Z,ADAUSD,0.963466,691.65064824,Limit,Filled,666.3818834572,"Entry" 
2025-01-02T15:05:00Z,XLMUSD,0.448,-435.70951351,Limit,Filled,-195.19786205248,"ATR Trail" 
2025-01-02T15:21:00Z,ADAUSD,0,-691.65064825,Limit,Canceled,0,"" 
2025-01-02T15:23:00Z,ADAUSD,0.94875,-691.65064825,Limit,Filled,-656.20355252719,"ATR Trail" 
2025-01-02T22:35:00Z,FTMUSD,0,594.44469029,Limit,Canceled,0,"" 
